"Region";"Year";"AvgPrice"
"Central";2021;1919.422
"Central";2022;1879.2385714285715
"Central";2023;1958.2966666666664
"Coast";2020;671.6307142857142
"Coast";2021;269.1188025889968
"Coast";2022;2718.5666666666666
"Coast";2023;1935.7791666666665
"Eastern";2020;1912.66625
"Eastern";2021;1024.4095454545454
"Eastern";2022;1716.5243396226415
"Eastern";2023;4000.0
"Nairobi";2020;1505.5351515151515
"Nairobi";2021;288.6082028469751
"Nairobi";2022;1161.7349315068493
"Nairobi";2023;3074.9724137931034
"North Eastern";2021;236.21233983286908
"North Eastern";2022;1611.9172881355933
"North Eastern";2023;366.55495535714283
"Nyanza";2020;48.405
"Nyanza";2021;3758.25
"Nyanza";2022;3019.4557142857143
"Nyanza";2023;3975.9111111111106
"Rift Valley";2020;1131.006
"Rift Valley";2021;306.0575560538117
"Rift Valley";2022;934.1197530864198
"Rift Valley";2023;364.96074074074073
